Data;Zamkniecie
27.12.2017;2682.62
28.12.2017;2687.54
29.12.2017;2673.61
02.01.2018;2695.81
03.01.2018;2713.06
04.01.2018;2723.99
05.01.2018;2743.15
08.01.2018;2747.71
09.01.2018;2751.29
10.01.2018;2748.23
11.01.2018;2767.56
12.01.2018;2786.24
16.01.2018;2776.42
17.01.2018;2802.56
18.01.2018;2798.03
19.01.2018;2810.3
22.01.2018;2832.97
23.01.2018;2839.13
24.01.2018;2837.54
25.01.2018;2839.25
26.01.2018;2872.87
29.01.2018;2853.53
30.01.2018;2822.43
31.01.2018;2823.81
01.02.2018;2821.98
02.02.2018;2762.13
05.02.2018;2648.94
06.02.2018;2695.14
07.02.2018;2681.66
08.02.2018;2581
09.02.2018;2619.55
12.02.2018;2656
13.02.2018;2662.94
14.02.2018;2698.63
15.02.2018;2731.2
16.02.2018;2732.22
20.02.2018;2716.26
21.02.2018;2701.33
22.02.2018;2703.96
23.02.2018;2747.3
26.02.2018;2779.6
27.02.2018;2744.28
28.02.2018;2713.83
01.03.2018;2677.67
02.03.2018;2691.25
05.03.2018;2720.94
06.03.2018;2728.12
07.03.2018;2726.8
08.03.2018;2738.97
09.03.2018;2786.57
12.03.2018;2783.02
13.03.2018;2765.31
14.03.2018;2749.48
15.03.2018;2747.33
16.03.2018;2752.01
19.03.2018;2712.92
20.03.2018;2716.94
21.03.2018;2711.93
22.03.2018;2643.69
23.03.2018;2588.26
26.03.2018;2658.55
27.03.2018;2612.62
28.03.2018;2605
29.03.2018;2640.87
02.04.2018;2581.88
03.04.2018;2614.45
04.04.2018;2644.69
05.04.2018;2662.84
06.04.2018;2604.47
09.04.2018;2613.16
10.04.2018;2656.87
11.04.2018;2642.19
12.04.2018;2663.99
13.04.2018;2656.3
16.04.2018;2677.84
17.04.2018;2706.39
18.04.2018;2708.64
19.04.2018;2693.13
20.04.2018;2670.14
23.04.2018;2670.29
24.04.2018;2634.56
25.04.2018;2639.4
26.04.2018;2666.94
27.04.2018;2669.91
30.04.2018;2648.05
01.05.2018;2654.8
02.05.2018;2635.67
03.05.2018;2629.73
04.05.2018;2663.42
07.05.2018;2672.63
08.05.2018;2671.92
09.05.2018;2697.79
10.05.2018;2723.07
11.05.2018;2727.72
14.05.2018;2730.13
15.05.2018;2711.45
16.05.2018;2722.46
17.05.2018;2720.13
18.05.2018;2712.97
21.05.2018;2733.01
22.05.2018;2724.44
23.05.2018;2733.29
24.05.2018;2727.76
25.05.2018;2721.33
29.05.2018;2689.86
30.05.2018;2724.01
31.05.2018;2705.27
01.06.2018;2734.62
04.06.2018;2746.87
05.06.2018;2748.8
06.06.2018;2772.35
07.06.2018;2770.37
08.06.2018;2779.03
11.06.2018;2782
12.06.2018;2786.85
13.06.2018;2775.63
14.06.2018;2782.49
15.06.2018;2779.66
18.06.2018;2773.75
19.06.2018;2762.59
20.06.2018;2767.32
21.06.2018;2749.76
22.06.2018;2754.88
25.06.2018;2717.07
26.06.2018;2723.06
27.06.2018;2699.63
28.06.2018;2716.31
29.06.2018;2718.37
02.07.2018;2726.71
03.07.2018;2713.22
05.07.2018;2736.61
06.07.2018;2759.82
09.07.2018;2784.17
10.07.2018;2793.84
11.07.2018;2774.02
12.07.2018;2798.29
13.07.2018;2801.31
16.07.2018;2798.43
17.07.2018;2809.55
18.07.2018;2815.62
19.07.2018;2804.49
20.07.2018;2801.83
23.07.2018;2806.98
24.07.2018;2820.4
25.07.2018;2846.07
26.07.2018;2837.44
27.07.2018;2818.82
30.07.2018;2802.6
31.07.2018;2816.29
01.08.2018;2813.36
02.08.2018;2827.22
03.08.2018;2840.35
06.08.2018;2850.4
07.08.2018;2858.45
08.08.2018;2857.7
09.08.2018;2853.58
10.08.2018;2833.28
13.08.2018;2821.93
14.08.2018;2839.96
15.08.2018;2818.37
16.08.2018;2840.69
17.08.2018;2850.13
20.08.2018;2857.05
21.08.2018;2862.96
22.08.2018;2861.82
23.08.2018;2856.98
24.08.2018;2874.69
27.08.2018;2896.74
28.08.2018;2897.52
29.08.2018;2914.04
30.08.2018;2901.13
31.08.2018;2901.52
04.09.2018;2896.72
05.09.2018;2888.6
06.09.2018;2878.05
07.09.2018;2871.68
10.09.2018;2877.13
11.09.2018;2887.89
12.09.2018;2888.92
13.09.2018;2904.18
14.09.2018;2904.98
17.09.2018;2888.8
18.09.2018;2904.31
19.09.2018;2907.95
20.09.2018;2930.75
21.09.2018;2929.67
24.09.2018;2919.37
25.09.2018;2915.56
26.09.2018;2905.97
27.09.2018;2914
28.09.2018;2913.98
01.10.2018;2924.59
02.10.2018;2923.43
03.10.2018;2925.51
04.10.2018;2901.61
05.10.2018;2885.57
08.10.2018;2884.43
09.10.2018;2880.34
10.10.2018;2785.68
11.10.2018;2728.37
12.10.2018;2767.13
15.10.2018;2750.79
16.10.2018;2809.92
17.10.2018;2809.21
18.10.2018;2768.78
19.10.2018;2767.78
22.10.2018;2755.88
23.10.2018;2740.69
24.10.2018;2656.1
25.10.2018;2705.57
26.10.2018;2658.69
29.10.2018;2641.25
30.10.2018;2682.63
31.10.2018;2711.74
01.11.2018;2740.37
02.11.2018;2723.06
05.11.2018;2738.31
06.11.2018;2755.45
07.11.2018;2813.89
08.11.2018;2806.83
09.11.2018;2781.01
12.11.2018;2726.22
13.11.2018;2722.18
14.11.2018;2701.58
15.11.2018;2730.2
16.11.2018;2736.27
19.11.2018;2690.73
20.11.2018;2641.89
21.11.2018;2649.93
23.11.2018;2632.56
26.11.2018;2673.45
27.11.2018;2682.17
28.11.2018;2743.79
29.11.2018;2737.76
30.11.2018;2760.17
03.12.2018;2790.37
04.12.2018;2700.06
06.12.2018;2695.95
07.12.2018;2633.08
10.12.2018;2637.72
11.12.2018;2636.78
12.12.2018;2651.07
13.12.2018;2650.54
14.12.2018;2599.95
17.12.2018;2545.94
18.12.2018;2546.16
19.12.2018;2506.96
20.12.2018;2467.42
21.12.2018;2416.62
24.12.2018;2351.1
26.12.2018;2467.7
27.12.2018;2488.83
28.12.2018;2485.74
31.12.2018;2506.85
02.01.2019;2510.03
03.01.2019;2447.89
04.01.2019;2531.94
07.01.2019;2549.69
08.01.2019;2574.41
09.01.2019;2584.96
10.01.2019;2596.64
11.01.2019;2596.26
14.01.2019;2582.61
15.01.2019;2610.3
16.01.2019;2616.1
17.01.2019;2635.96
18.01.2019;2670.71
22.01.2019;2632.9
23.01.2019;2638.7
24.01.2019;2642.33
25.01.2019;2664.76
28.01.2019;2643.85
29.01.2019;2640
30.01.2019;2681.05
31.01.2019;2704.1
01.02.2019;2706.53
04.02.2019;2724.87
05.02.2019;2737.7
06.02.2019;2731.61
07.02.2019;2706.05
08.02.2019;2707.88
11.02.2019;2709.8
12.02.2019;2744.73
13.02.2019;2753.03
14.02.2019;2745.73
15.02.2019;2775.6
19.02.2019;2779.76
20.02.2019;2784.7
21.02.2019;2774.88
22.02.2019;2792.67
25.02.2019;2796.11
26.02.2019;2793.9
27.02.2019;2792.38
28.02.2019;2784.49
01.03.2019;2803.69
04.03.2019;2792.81
05.03.2019;2789.65
06.03.2019;2771.45
07.03.2019;2748.93
08.03.2019;2743.07
11.03.2019;2783.3
12.03.2019;2791.52
13.03.2019;2810.92
14.03.2019;2808.48
15.03.2019;2822.48
18.03.2019;2832.94
19.03.2019;2832.57
20.03.2019;2824.23
21.03.2019;2854.88
22.03.2019;2800.71
25.03.2019;2798.36
26.03.2019;2818.46
27.03.2019;2805.37
28.03.2019;2815.44
29.03.2019;2834.4
01.04.2019;2867.19
02.04.2019;2867.24
03.04.2019;2873.4
04.04.2019;2879.39
05.04.2019;2892.74
08.04.2019;2895.77
09.04.2019;2878.2
10.04.2019;2888.21
11.04.2019;2888.32
12.04.2019;2907.41
15.04.2019;2905.58
16.04.2019;2907.06
17.04.2019;2900.45
18.04.2019;2905.03
22.04.2019;2907.97
23.04.2019;2933.68
24.04.2019;2927.25
25.04.2019;2926.17
26.04.2019;2939.88
29.04.2019;2943.03
30.04.2019;2945.83
01.05.2019;2923.73
02.05.2019;2917.52
03.05.2019;2945.64
06.05.2019;2932.47
07.05.2019;2884.05
08.05.2019;2879.42
09.05.2019;2870.72
10.05.2019;2881.4
13.05.2019;2811.87
14.05.2019;2834.41
15.05.2019;2850.96
16.05.2019;2876.32
17.05.2019;2859.53
20.05.2019;2840.23
21.05.2019;2864.36
22.05.2019;2856.27
23.05.2019;2822.24
24.05.2019;2826.06
28.05.2019;2802.39
29.05.2019;2783.02
30.05.2019;2788.86
31.05.2019;2752.06
03.06.2019;2744.45
04.06.2019;2803.27
05.06.2019;2826.15
06.06.2019;2843.49
07.06.2019;2873.34
10.06.2019;2886.73
11.06.2019;2885.72
12.06.2019;2879.84
13.06.2019;2891.64
14.06.2019;2886.98
17.06.2019;2889.67
18.06.2019;2917.75
19.06.2019;2926.46
20.06.2019;2954.18
21.06.2019;2950.46
24.06.2019;2945.35
25.06.2019;2917.38
26.06.2019;2913.78
27.06.2019;2924.92
28.06.2019;2941.76
01.07.2019;2964.33
02.07.2019;2973.01
03.07.2019;2995.82
05.07.2019;2990.41
08.07.2019;2975.95
09.07.2019;2979.63
10.07.2019;2993.07
11.07.2019;2999.91
12.07.2019;3013.77
15.07.2019;3014.3
16.07.2019;3004.04
17.07.2019;2984.42
18.07.2019;2995.11
19.07.2019;2976.61
22.07.2019;2985.03
23.07.2019;3005.47
24.07.2019;3019.56
25.07.2019;3003.67
26.07.2019;3025.86
29.07.2019;3020.97
30.07.2019;3013.18
31.07.2019;2980.38
01.08.2019;2953.56
02.08.2019;2932.05
05.08.2019;2844.74
06.08.2019;2881.77
07.08.2019;2883.98
08.08.2019;2938.09
09.08.2019;2918.65
12.08.2019;2883.75
13.08.2019;2926.32
14.08.2019;2840.6
15.08.2019;2847.6
16.08.2019;2888.68
19.08.2019;2923.65
20.08.2019;2900.51
21.08.2019;2924.43
22.08.2019;2922.95
23.08.2019;2847.11
26.08.2019;2878.38
27.08.2019;2869.16
28.08.2019;2887.94
29.08.2019;2924.58
30.08.2019;2926.46
03.09.2019;2906.27
04.09.2019;2937.78
05.09.2019;2976
06.09.2019;2978.71
09.09.2019;2978.43
10.09.2019;2979.39
11.09.2019;3000.93
12.09.2019;3009.57
13.09.2019;3007.39
16.09.2019;2997.96
17.09.2019;3005.7
18.09.2019;3006.73
19.09.2019;3006.79
20.09.2019;2992.07
23.09.2019;2991.78
24.09.2019;2966.6
25.09.2019;2984.87
26.09.2019;2977.62
27.09.2019;2961.79
30.09.2019;2976.74
01.10.2019;2940.25
02.10.2019;2887.61
03.10.2019;2910.63
04.10.2019;2952.01
07.10.2019;2938.79
08.10.2019;2893.06
09.10.2019;2919.4
10.10.2019;2938.13
11.10.2019;2970.27
14.10.2019;2966.15
15.10.2019;2995.68
16.10.2019;2989.69
17.10.2019;2997.95
18.10.2019;2986.2
21.10.2019;3006.72
22.10.2019;2995.99
23.10.2019;3004.52
24.10.2019;3010.29
25.10.2019;3022.55
28.10.2019;3039.42
29.10.2019;3036.89
30.10.2019;3046.77
31.10.2019;3037.56
01.11.2019;3066.91
04.11.2019;3078.27
05.11.2019;3074.62
06.11.2019;3076.78
07.11.2019;3085.18
08.11.2019;3093.08
11.11.2019;3087.01
12.11.2019;3091.84
13.11.2019;3094.04
14.11.2019;3096.63
15.11.2019;3120.46
18.11.2019;3122.03
19.11.2019;3120.18
20.11.2019;3108.46
21.11.2019;3103.54
22.11.2019;3110.29
25.11.2019;3133.64
26.11.2019;3140.52
27.11.2019;3153.63
29.11.2019;3140.98
02.12.2019;3113.87
03.12.2019;3093.2
04.12.2019;3112.76
05.12.2019;3117.43
06.12.2019;3145.91
09.12.2019;3135.96
10.12.2019;3132.52
11.12.2019;3141.63
12.12.2019;3168.57
13.12.2019;3168.8
16.12.2019;3191.45
17.12.2019;3192.52
18.12.2019;3191.14
19.12.2019;3205.37
20.12.2019;3221.22
23.12.2019;3224.01
24.12.2019;3223.38
26.12.2019;3239.91
27.12.2019;3240.02
30.12.2019;3221.29
31.12.2019;3230.78
